                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9972,                 5.3314,                 1.2024,                  5e-05,                0.00636,                  2e-05,                  1e-05,                 1.5253,                 4.5962,                0.93881,               0.070833,              0.0032407,              0.0032407
                      1,                 1.5801,                 3.5303,                0.97206,                0.00652,                0.59405,                0.13722,                0.07888,                 1.5778,                 3.6723,                0.95122,               0.040768,               0.006509,               0.006509
                      2,                 1.6184,                 3.1188,                0.96678,                0.45161,                0.04218,                0.17694,                0.09448,                 1.6293,                  3.124,                0.99538,               0.010637,              0.0097112,              0.0097112
                      3,                 1.5904,                 2.9433,                0.95457,                0.28586,                0.26039,                0.18932,                0.09008,                 1.5452,                 2.9007,                0.94486,               0.009703,               0.009703,               0.009703
                      4,                 1.4463,                 2.7425,                0.95467,                0.24452,                0.45465,                0.21342,                 0.1171,                 1.5559,                 2.4627,                0.94624,               0.009703,               0.009703,               0.009703
                      5,                  1.389,                 2.5088,                0.94157,                0.27922,                0.48953,                0.30701,                0.16253,                 1.5683,                 2.3033,                0.94649,               0.009604,               0.009604,               0.009604
                      6,                 1.3033,                 2.3506,                0.92807,                0.25273,                0.23625,                 0.2579,                0.16084,                 1.4359,                 2.5747,                0.92432,               0.009505,               0.009505,               0.009505
                      7,                 1.4067,                 2.2419,                0.92834,                0.30578,                0.54632,                0.32202,                 0.1919,                 1.3664,                 2.0672,                0.90959,               0.009406,               0.009406,               0.009406
                      8,                 1.2859,                 2.0238,                0.90563,                0.29837,                0.54964,                0.28345,                0.15489,                 1.4602,                 2.4043,                0.92402,               0.009307,               0.009307,               0.009307
                      9,                 1.3097,                 1.9546,                0.91122,                0.35976,                0.57615,                 0.4529,                0.27172,                 1.3772,                 1.7677,                0.92474,               0.009208,               0.009208,               0.009208
                     10,                 1.3259,                 1.8062,                0.92264,                0.30377,                0.58639,                0.42769,                 0.2722,                 1.3698,                 1.7474,                0.92235,               0.009109,               0.009109,               0.009109
                     11,                 1.2219,                 1.6672,                0.90616,                0.47677,                0.64105,                0.55912,                0.35518,                 1.2222,                 1.4904,                0.89276,                0.00901,                0.00901,                0.00901
                     12,                 1.2719,                 1.5285,                0.91113,                0.58357,                 0.5524,                0.58776,                0.37335,                 1.3111,                 1.4063,                0.90181,               0.008911,               0.008911,               0.008911
                     13,                 1.1508,                 1.4555,                0.89855,                0.49526,                0.49034,                0.51603,                0.33376,                 1.2321,                 1.5181,                0.88897,               0.008812,               0.008812,               0.008812
                     14,                 1.1402,                 1.3809,                0.91212,                0.55644,                0.54457,                0.55007,                0.37232,                 1.1908,                 1.4203,                0.88184,               0.008713,               0.008713,               0.008713
                     15,                 1.1728,                 1.3572,                 0.9053,                0.64693,                0.54274,                0.61144,                  0.394,                 1.2575,                 1.2844,                0.89506,               0.008614,               0.008614,               0.008614
                     16,                 1.1277,                 1.2349,                0.89516,                0.63785,                0.55934,                0.63941,                 0.4067,                 1.3046,                 1.3943,                0.90389,               0.008515,               0.008515,               0.008515
                     17,                 1.1095,                 1.1967,                0.89228,                0.70213,                0.59249,                0.71712,                0.49326,                 1.1358,                 1.0818,                0.88344,               0.008416,               0.008416,               0.008416
                     18,                 1.1853,                 1.2778,                 0.8972,                0.70687,                0.56602,                0.66358,                0.42619,                 1.2389,                 1.1761,                0.90531,               0.008317,               0.008317,               0.008317
                     19,                 1.1735,                 1.1905,                0.88561,                0.59529,                0.63099,                0.66064,                0.44839,                 1.1375,                 1.1937,                 0.8788,               0.008218,               0.008218,               0.008218
                     20,                 1.1154,                 1.1068,                0.88134,                0.62669,                0.61199,                0.68094,                0.45812,                 1.1377,                 1.0951,                 0.8807,               0.008119,               0.008119,               0.008119
                     21,                    1.1,                 1.0903,                0.89062,                0.67841,                0.64488,                0.70264,                0.48347,                 1.1039,                 1.0699,                0.87968,                0.00802,                0.00802,                0.00802
                     22,                 1.1017,                 1.0963,                0.88394,                0.70062,                0.55523,                    0.7,                0.46784,                 1.0723,                 1.0365,                0.88307,               0.007921,               0.007921,               0.007921
                     23,                 1.0452,                 1.0492,                0.88257,                0.68855,                0.63699,                0.71282,                0.49786,                 1.0809,                 1.0472,                0.88391,               0.007822,               0.007822,               0.007822
                     24,                 1.1017,                 1.0048,                0.88937,                0.74588,                0.64417,                0.76915,                0.51983,                 1.0583,                0.97212,                0.87698,               0.007723,               0.007723,               0.007723
                     25,                 1.0622,                0.97646,                0.88296,                0.75341,                0.59316,                0.71451,                0.49232,                 1.0815,                  1.101,                0.87674,               0.007624,               0.007624,               0.007624
                     26,                 1.0275,                0.96081,                0.87315,                0.61294,                0.57592,                0.61642,                0.42327,                 1.0887,                  1.376,                0.87568,               0.007525,               0.007525,               0.007525
                     27,                 1.0685,                0.95439,                0.87685,                0.75254,                0.64174,                0.74106,                0.50842,                 1.0595,                 1.0002,                0.87188,               0.007426,               0.007426,               0.007426
                     28,                0.99674,                0.92365,                0.87688,                0.76757,                 0.5831,                0.73983,                0.52668,                 1.0664,                 1.0629,                0.87528,               0.007327,               0.007327,               0.007327
                     29,                0.99952,                0.92622,                0.86956,                0.68154,                0.60324,                0.68884,                0.47375,                 1.0949,                 1.2138,                0.87761,               0.007228,               0.007228,               0.007228
                     30,                0.98598,                0.92083,                0.86179,                 0.8645,                0.57308,                0.76676,                0.52355,                 1.0676,                0.87932,                0.88488,               0.007129,               0.007129,               0.007129
                     31,                0.99335,                0.86867,                0.86479,                0.74286,                0.67989,                0.80306,                0.54179,                 1.0738,                0.83548,                 0.8771,                0.00703,                0.00703,                0.00703
                     32,                0.98368,                0.82678,                0.86626,                0.79508,                0.69286,                0.82035,                0.58028,                 1.0259,                0.83106,                0.87196,               0.006931,               0.006931,               0.006931
                     33,                0.98179,                0.83998,                0.86963,                0.71924,                0.70657,                0.78871,                0.53906,                 1.0866,                0.90244,                0.87555,               0.006832,               0.006832,               0.006832
